Date,Open,High,Low,Close,Adj Close,Volume
2014-11-03,6.990000,7.260000,6.670000,6.770000,6.113684,170100
2014-11-04,6.680000,6.950000,6.680000,6.920000,6.249143,41000
2014-11-05,7.000000,8.280000,6.940000,8.030000,7.251534,389200
2014-11-06,8.050000,8.800000,8.000000,8.720000,7.874642,267000
2014-11-07,8.700000,8.820000,7.780000,7.930000,7.161228,311100
2014-11-10,8.030000,8.370000,7.950000,8.010000,7.233472,200600
2014-11-11,7.980000,8.250000,7.980000,8.090000,7.305717,117200
2014-11-12,8.090000,8.400000,8.010000,8.360000,7.549541,91500
2014-11-13,8.320000,8.410000,8.150000,8.380000,7.567603,75900
2014-11-14,8.410000,8.570000,8.350000,8.370000,7.558572,76600
2014-11-17,8.190000,8.360000,7.900000,7.910000,7.143167,140500
2014-11-18,7.900000,8.500000,7.900000,8.280000,7.477298,157400
2014-11-19,8.200000,8.290000,8.000000,8.020000,7.242503,98000
2014-11-20,8.010000,8.220000,7.900000,8.220000,7.423115,85400
2014-11-21,8.370000,8.660000,8.200000,8.570000,7.739183,155400
2014-11-24,8.710000,8.950000,8.510000,8.850000,7.992039,145800
2014-11-25,8.980000,9.110000,8.920000,8.980000,8.109436,156700
2014-11-26,9.010000,9.030000,8.710000,8.900000,8.037190,134000
2014-11-28,8.880000,9.070000,8.160000,8.890000,8.028160,75700
2014-12-01,8.890000,9.290000,8.780000,9.250000,8.353263,172500
2014-12-02,9.120000,9.290000,8.930000,9.170000,8.281017,182000
2014-12-03,9.310000,9.370000,9.100000,9.170000,8.281017,126900
2014-12-04,9.150000,9.360000,9.010000,9.170000,8.281017,210600
2014-12-05,9.160000,9.350000,8.990000,9.080000,8.199741,96800
2014-12-08,8.890000,9.040000,8.600000,8.700000,7.961802,135000
2014-12-09,8.650000,9.220000,8.520000,8.990000,8.227197,171700
2014-12-10,8.900000,9.160000,8.780000,8.790000,8.044165,127600
2014-12-11,8.880000,9.120000,8.680000,8.720000,7.980104,103900
2014-12-12,8.600000,8.680000,8.320000,8.350000,7.641500,98000
2014-12-15,8.420000,8.520000,8.290000,8.450000,7.733015,74800
2014-12-16,8.380000,8.690000,8.380000,8.420000,7.705562,124300
2014-12-17,8.420000,8.650000,8.400000,8.520000,7.797076,115700
2014-12-18,8.630000,8.760000,8.530000,8.650000,7.916045,113400
2014-12-19,8.630000,8.800000,8.570000,8.700000,7.961802,327200
2014-12-22,8.730000,8.970000,8.620000,8.950000,8.190591,108900
2014-12-23,8.970000,9.150000,8.810000,8.870000,8.117378,120300
2014-12-24,8.930000,9.080000,8.880000,8.920000,8.163136,25700
2014-12-26,9.000000,9.110000,8.870000,9.010000,8.245500,45300
2014-12-29,8.950000,9.030000,8.600000,8.800000,8.053317,76900
2014-12-30,8.720000,8.880000,8.700000,8.770000,8.025864,74300
2014-12-31,8.850000,8.960000,8.770000,8.790000,8.044165,140500
2015-01-02,8.800000,8.930000,8.620000,8.700000,7.961802,86500
2015-01-05,8.680000,8.820000,8.550000,8.560000,7.833683,108400
2015-01-06,8.540000,8.610000,8.290000,8.410000,7.696410,85200
2015-01-07,8.440000,8.670000,8.300000,8.370000,7.659803,97000
2015-01-08,8.440000,8.600000,8.410000,8.490000,7.769622,69000
2015-01-09,8.490000,8.580000,8.200000,8.350000,7.641500,49500
2015-01-12,8.320000,8.590000,8.290000,8.470000,7.751318,139800
2015-01-13,8.480000,8.890000,8.380000,8.520000,7.797076,92800
2015-01-14,8.440000,8.560000,8.220000,8.280000,7.577439,68900
2015-01-15,8.320000,8.390000,7.970000,7.990000,7.312047,69700
2015-01-16,7.960000,8.260000,7.960000,8.080000,7.394410,114100
2015-01-20,8.050000,8.260000,7.920000,7.980000,7.302895,53700
2015-01-21,7.940000,7.980000,7.680000,7.730000,7.074107,51200
2015-01-22,7.730000,7.990000,7.670000,7.900000,7.229683,48500
2015-01-23,7.930000,7.990000,7.830000,7.870000,7.202228,29100
2015-01-26,7.820000,7.820000,7.580000,7.590000,6.945986,58900
2015-01-27,7.400000,7.670000,7.310000,7.600000,6.955138,95700
2015-01-28,7.620000,7.650000,7.470000,7.600000,6.955138,76300
2015-01-29,7.640000,7.800000,7.580000,7.790000,7.129015,34400
2015-01-30,7.700000,7.900000,7.520000,7.580000,6.936834,97200
2015-02-02,7.580000,7.860000,7.460000,7.830000,7.165622,65200
2015-02-03,7.880000,8.040000,7.880000,7.950000,7.275440,48400
2015-02-04,7.890000,7.990000,7.850000,7.850000,7.183925,21900
2015-02-05,7.860000,8.240000,7.820000,8.210000,7.513379,39200
2015-02-06,8.250000,8.270000,7.930000,7.970000,7.293743,65100
2015-02-09,7.920000,8.020000,7.850000,7.870000,7.202228,44900
2015-02-10,7.910000,8.090000,7.820000,8.010000,7.330350,36400
2015-02-11,7.960000,8.130000,7.920000,7.970000,7.293743,101600
2015-02-12,8.070000,8.240000,8.000000,8.120000,7.431016,46800
2015-02-13,8.060000,8.210000,7.990000,8.150000,7.458470,43300
2015-02-17,8.150000,8.330000,8.080000,8.150000,7.458470,27500
2015-02-18,8.120000,8.250000,8.030000,8.160000,7.467622,31800
2015-02-19,8.100000,8.140000,7.980000,7.990000,7.312047,22700
2015-02-20,8.010000,8.020000,7.870000,7.930000,7.257137,50000
2015-02-23,7.950000,7.970000,7.850000,7.870000,7.202228,39000
2015-02-24,7.870000,7.980000,7.810000,7.930000,7.257137,44000
2015-02-25,8.100000,9.070000,8.100000,9.020000,8.254651,119900
2015-02-26,9.000000,9.310000,8.890000,9.230000,8.446832,42200
2015-02-27,9.250000,9.250000,8.770000,8.810000,8.062469,101000
2015-03-02,8.840000,8.910000,8.570000,8.810000,8.062469,181500
2015-03-03,8.750000,8.910000,8.650000,8.720000,7.980104,34500
2015-03-04,8.710000,9.040000,8.650000,8.980000,8.218043,91100
2015-03-05,9.000000,9.200000,8.920000,9.080000,8.309561,83300
2015-03-06,9.010000,9.170000,8.990000,9.100000,8.327864,49800
2015-03-09,9.140000,9.250000,9.070000,9.110000,8.337015,53100
2015-03-10,8.930000,9.210000,8.670000,8.970000,8.208893,58000
2015-03-11,9.050000,9.170000,8.850000,8.930000,8.172288,44900
2015-03-12,8.950000,9.040000,8.770000,8.970000,8.208893,46800
2015-03-13,8.970000,8.970000,8.730000,8.810000,8.062469,33900
2015-03-16,8.830000,8.860000,8.550000,8.800000,8.053317,33500
2015-03-17,8.780000,8.800000,8.700000,8.780000,8.035014,43200
2015-03-18,8.720000,8.800000,8.320000,8.770000,8.025864,56700
2015-03-19,8.700000,8.790000,8.690000,8.750000,8.007560,34300
2015-03-20,8.750000,8.830000,8.670000,8.700000,7.961802,115000
2015-03-23,8.660000,8.750000,8.540000,8.600000,7.870287,99100
2015-03-24,8.990000,8.990000,8.670000,8.860000,8.108225,31400
2015-03-25,8.830000,8.940000,8.570000,8.580000,7.851984,83000
2015-03-26,8.560000,8.680000,8.520000,8.600000,7.870287,72400
2015-03-27,8.600000,8.860000,8.600000,8.700000,7.961802,109300
2015-03-30,8.770000,8.960000,8.770000,8.940000,8.181437,43600
2015-03-31,8.860000,8.990000,8.790000,8.940000,8.181437,23600
2015-04-01,8.890000,9.380000,8.890000,9.360000,8.565800,167500
2015-04-02,9.440000,9.580000,9.200000,9.280000,8.492588,89300
2015-04-06,9.270000,9.300000,8.980000,9.200000,8.419378,111500
2015-04-07,9.150000,9.320000,9.020000,9.070000,8.300406,47400
2015-04-08,9.030000,9.260000,9.030000,9.160000,8.382771,38800
2015-04-09,9.190000,9.190000,8.850000,8.880000,8.126528,58100
2015-04-10,8.860000,9.000000,8.770000,8.850000,8.099075,45600
2015-04-13,8.740000,8.900000,8.660000,8.890000,8.135680,64000
2015-04-14,8.930000,8.980000,8.840000,8.940000,8.181437,20000
2015-04-15,8.990000,9.290000,8.930000,9.260000,8.474287,42600
2015-04-16,9.280000,9.460000,9.210000,9.300000,8.510892,46500
2015-04-17,9.230000,9.360000,9.080000,9.210000,8.428528,89100
2015-04-20,9.350000,10.270000,9.340000,9.810000,8.977619,237500
2015-04-21,9.940000,10.080000,9.840000,9.940000,9.096590,89200
2015-04-22,10.000000,10.110000,9.890000,9.960000,9.114892,83600
2015-04-23,9.830000,9.940000,9.640000,9.900000,9.059982,63000
2015-04-24,9.940000,9.940000,9.550000,9.740000,8.913558,37900
2015-04-27,9.740000,10.070000,9.740000,9.890000,9.050832,77300
2015-04-28,9.860000,10.090000,9.850000,10.040000,9.188105,47800
2015-04-29,10.040000,10.050000,9.760000,9.890000,9.050832,45800
2015-04-30,9.870000,9.980000,9.530000,9.600000,8.785438,102100
2015-05-01,9.580000,9.870000,9.530000,9.850000,9.014225,62100
2015-05-04,9.430000,9.840000,9.330000,9.740000,8.913558,106100
2015-05-05,9.700000,9.810000,9.360000,9.430000,8.629862,63900
2015-05-06,9.350000,9.430000,9.020000,9.340000,8.547499,80900
2015-05-07,9.390000,9.620000,9.310000,9.500000,8.693922,45200
2015-05-08,9.590000,9.590000,9.340000,9.360000,8.565800,63800
2015-05-11,9.410000,9.540000,9.370000,9.440000,8.639013,53000
2015-05-12,9.450000,9.610000,9.350000,9.450000,8.648165,66100
2015-05-13,10.200000,11.140000,9.760000,10.910000,9.984283,478800
